FILME,EXAME,ALVO,MIN,MAX,
35TSY32MR-L2,COF NT-NT din imediato,0.35,0.2,0.4,
35TSY32MR-L2,COF NT-NT din,0.4,0.2,0.65,
35TSY32MR-L2,COF T-T din imediato,0.25,0.2,0.3,
35TSY32MR-L2,COF T-T din,0.25,0.2,0.3,
35TSY32MR-L2,Tensão superficial,42,38,46,
35TSY32MR-L2,TIS NT-NT,105,,108,
35TSY32MR-L2,TIS T-T,112,,120,
35TSY32MR-L2,Encolhimento DM,3,,5,
35TSY32MR-L2,Encolhimento DT,1,,3,
35TSY32MR-L2,Brilho 45,90,80,,
35TSY32MR-L2,DIfusão,1.6,,3,
35TSY32MR-L2,Força de tração DM,140,130,,
35TSY32MR-L2,Força de tração DT,240,220,,
35TSY32MR-L2,Módulo elástico DM,1700,,,
35TSY32MR-L2,Módulo elástico DT,2500,,,
40TSY32MR-L2,COF NT-NT din imediato,0.35,0.2,0.4,
40TSY32MR-L2,COF NT-NT din,0.4,0.2,0.65,
40TSY32MR-L2,COF T-T din imediato,0.25,0.2,0.3,
40TSY32MR-L2,COF T-T din,0.25,0.2,0.3,
40TSY32MR-L2,Tensão superficial,42,38,46,
40TSY32MR-L2,TIS NT-NT,105,,108,
40TSY32MR-L2,TIS T-T,112,,120,
40TSY32MR-L2,Encolhimento DM,3,,5,
40TSY32MR-L2,Encolhimento DT,1,,3,
40TSY32MR-L2,Brilho 45,90,80,,
40TSY32MR-L2,DIfusão,1.6,,3,
40TSY32MR-L2,Força de tração DM,140,130,,
40TSY32MR-L2,Força de tração DT,240,220,,
40TSY32MR-L2,Módulo elástico DM,1700,,,
40TSY32MR-L2,Módulo elástico DT,2500,,,
50TSY32MR-L2,COF NT-NT din imediato,0.35,0.2,0.4,
50TSY32MR-L2,COF NT-NT din,0.4,0.2,0.65,
50TSY32MR-L2,COF T-T din imediato,0.25,0.2,0.3,
50TSY32MR-L2,COF T-T din,0.25,0.2,0.3,
50TSY32MR-L2,Tensão superficial,42,38,46,
50TSY32MR-L2,TIS NT-NT,105,,108,
50TSY32MR-L2,TIS T-T,112,,120,
50TSY32MR-L2,Encolhimento DM,3,,5,
50TSY32MR-L2,Encolhimento DT,1,,3,
50TSY32MR-L2,Brilho 45,90,80,,
50TSY32MR-L2,DIfusão,1.6,,3,
50TSY32MR-L2,Força de tração DM,140,130,,
50TSY32MR-L2,Força de tração DT,240,220,,
50TSY32MR-L2,Módulo elástico DM,1700,,,
50TSY32MR-L2,Módulo elástico DT,2500,,,
15TSY32MR,Força de selagem,380,300,,
17TSY32MR,Força de selagem,400,300,,
18TSY32MR,Força de selagem,450,300,,
20TSY32MR,Força de selagem,450,300,,
22TSY32MR,Força de selagem,450,300,,
25TSY32MR-L2,Força de selagem,480,300,,
30TSY32MR-L3,Força de selagem,500,300,,
35TSY32MR-L2,Força de selagem,550,300,,
40TSY32MR-L2,Força de selagem,580,300,,
50TSY32MR-L2,Força de selagem,600,300,,
15TSY32MR,Faixa de selagem,105,,130,
17TSY32MR,Faixa de selagem,105,,130,
18TSY32MR,Faixa de selagem,105,,130,
20TSY32MR,Faixa de selagem,105,,130,
22TSY32MR,Faixa de selagem,105,,130,
25TSY32MR-L2,Faixa de selagem,105,,130,
30TSY32MR-L3,Faixa de selagem,105,,130,
35TSY32MR-L2,Faixa de selagem,105,,130,
40TSY32MR-L2,Faixa de selagem,105,,130,
50TSY32MR-L2,Faixa de selagem,105,,130,
20TBM10,Espessura,26.7,25.9,27.5,
22TBM10,Espessura,29.3,28.5,30.2,
26TBM10,Espessura,34.7,33.6,35.7,
20TBM10,Gramatura,20,19.4,20.6,
22TBM10,Gramatura,22,21.3,22.7,
26TBM10,Gramatura,26,25.2,26.8,
20TBM10,COF NT-NT din,0.3,0.2,0.4,
22TBM10,COF NT-NT din,0.3,0.2,0.4,
26TBM10,COF NT-NT din,0.3,0.2,0.4,
20TBM10,Faixa de selagem,105,,130,
22TBM10,Faixa de selagem,105,,130,
26TBM10,Faixa de selagem,105,,130,
20TBM10,Força de selagem,350,300,,
22TBM10,Força de selagem,390,300,,
26TBM10,Força de selagem,400,300,,
20TBM10,TIS NT-NT,105,100,108,
22TBM10,TIS NT-NT,105,100,108,
26TBM10,TIS NT-NT,105,100,108,
20TBM10,Encolhimento DM,3,,5,
22TBM10,Encolhimento DM,3,,5,
26TBM10,Encolhimento DM,3,,5,
20TBM10,Encolhimento DT,1,,3,
22TBM10,Encolhimento DT,1,,3,
26TBM10,Encolhimento DT,1,,3,
20TBM10,Densidade Óptica,2,1.9,,
22TBM10,Densidade Óptica,2,1.9,,
26TBM10,Densidade Óptica,2,1.9,,
20TBM10,Força de tração DM,80,60,,
20TBM10,Força de tração DT,140,110,,
20TBM10,Alongamento DM,120,,160,
20TBM10,Alongamento DT,40,,60,
20TBM10,Módulo elástico DM,1200,,,
20TBM10,Módulo elástico DT,1700,,,
22TBM10,Força de tração DM,80,60,,
22TBM10,Força de tração DT,140,110,,
22TBM10,Alongamento DM,120,,160,
22TBM10,Alongamento DT,40,,60,
22TBM10,Módulo elástico DM,1200,,,
22TBM10,Módulo elástico DT,1700,,,
26TBM10,Força de tração DM,80,60,,
26TBM10,Força de tração DT,140,110,,
26TBM10,Alongamento DM,120,,160,
26TBM10,Alongamento DT,40,,60,
26TBM10,Módulo elástico DM,1200,,,
26TBM10,Módulo elástico DT,1700,,,
20TFA02MR-L3,Espessura,20,19.4,20.6,
22TFA02MR-L3,Espessura,22,21.3,22.7,
24TFA02MR-L3,Espessura,24,23.3,24.7,
28TFA02MR-L3,Espessura,28,27.2,28.8,
20TFA02MR-L3,Gramatura,18.1,17.6,18.6,
22TFA02MR-L3,Gramatura,19.9,19.3,20.5,
24TFA02MR-L3,Gramatura,21.7,21.1,22.4,
28TFA02MR-L3,Gramatura,25.3,24.6,26.1,
20TFA02MR-L3,COF NT-NT din imediato,0.45,0.3,0.65,
20TFA02MR-L3,COF NT-NT din,0.5,0.3,0.7,
20TFA02MR-L3,COF T-T din imediato,0.45,0.3,0.65,
20TFA02MR-L3,COF T-T din,0.5,0.3,0.7,
22TFA02MR-L3,COF NT-NT din imediato,0.45,0.3,0.65,
22TFA02MR-L3,COF NT-NT din,0.5,0.3,0.7,
22TFA02MR-L3,COF T-T din imediato,0.45,0.3,0.65,
22TFA02MR-L3,COF T-T din,0.5,0.3,0.7,
24TFA02MR-L3,COF NT-NT din imediato,0.45,0.3,0.65,
24TFA02MR-L3,COF NT-NT din,0.5,0.3,0.7,
24TFA02MR-L3,COF T-T din imediato,0.45,0.3,0.65,
24TFA02MR-L3,COF T-T din,0.5,0.3,0.7,
28TFA02MR-L3,COF NT-NT din imediato,0.45,0.3,0.65,
28TFA02MR-L3,COF NT-NT din,0.5,0.3,0.7,
28TFA02MR-L3,COF T-T din imediato,0.45,0.3,0.65,
28TFA02MR-L3,COF T-T din,0.5,0.3,0.7,
20TFA02MR-L3,Tensão superficial,42,38,46,
22TFA02MR-L3,Tensão superficial,42,38,46,
24TFA02MR-L3,Tensão superficial,42,38,46,
28TFA02MR-L3,Tensão superficial,42,38,46,
20TFA02MR-L3,Encolhimento DM,3,,5,
22TFA02MR-L3,Encolhimento DM,3,,5,
24TFA02MR-L3,Encolhimento DM,3,,5,
28TFA02MR-L3,Encolhimento DM,3,,5,
20TFA02MR-L3,Encolhimento DT,1,,3,
22TFA02MR-L3,Encolhimento DT,1,,3,
24TFA02MR-L3,Encolhimento DT,1,,3,
28TFA02MR-L3,Encolhimento DT,1,,3,
20TFA02MR-L3,Brilho 45,95,85,,
20TFA02MR-L3,Difusão,1.3,,2.5,
20TFA02MR-L3,Força de tração DM,160,140,,
20TFA02MR-L3,Força de tração DT,270,230,,
20TFA02MR-L3,Alongamento DM,140,,170,
20TFA02MR-L3,Alongamento DT,45,,65,
20TFA02MR-L3,Módulo elástico DM,1800,,,
20TFA02MR-L3,Módulo elástico DT,2600,,,
22TFA02MR-L3,Brilho 45,95,85,,
22TFA02MR-L3,Difusão,1.3,,2.5,
22TFA02MR-L3,Força de tração DM,160,140,,
22TFA02MR-L3,Força de tração DT,270,230,,
22TFA02MR-L3,Alongamento DM,140,,170,
22TFA02MR-L3,Alongamento DT,45,,65,
22TFA02MR-L3,Módulo elástico DM,1800,,,
22TFA02MR-L3,Módulo elástico DT,2600,,,
24TFA02MR-L3,Brilho 45,95,85,,
24TFA02MR-L3,Difusão,1.3,,2.5,
24TFA02MR-L3,Força de tração DM,160,140,,
24TFA02MR-L3,Força de tração DT,270,230,,
24TFA02MR-L3,Alongamento DM,140,,170,
24TFA02MR-L3,Alongamento DT,45,,65,
24TFA02MR-L3,Módulo elástico DM,1800,,,
24TFA02MR-L3,Módulo elástico DT,2600,,,
28TFA02MR-L3,Brilho 45,95,85,,
28TFA02MR-L3,Difusão,1.3,,2.5,
28TFA02MR-L3,Força de tração DM,160,140,,
28TFA02MR-L3,Força de tração DT,270,230,,
28TFA02MR-L3,Alongamento DM,140,,170,
28TFA02MR-L3,Alongamento DT,45,,65,
28TFA02MR-L3,Módulo elástico DM,1800,,,
28TFA02MR-L3,Módulo elástico DT,2600,,,
20TBPHGS32MR-L2,Espessura,26.7,25.3,28,
22TBPHGS32MR-L2,Espessura,29.3,28,30.7,
26TBPHGS32MR-L2,Espessura,34.7,33.3,36,
20TBPHGS32MR-L2,Gramatura,20,19,21,
22TBPHGS32MR-L2,Gramatura,22,21,23,
26TBPHGS32MR-L2,Gramatura,26,25,27,
20TBPHGS32MR-L2,COF NT-NT din imediato,0.22,0.15,0.3,
20TBPHGS32MR-L2,COF NT-NT din,0.35,0.2,0.45,
20TBPHGS32MR-L2,COF T-T din imediato,0.18,0.13,0.23,
20TBPHGS32MR-L2,COF T-T din,0.3,0.2,0.4,
20TBPHGS32MR-L2,Tensão superficial,42,38,46,
20TBPHGS32MR-L2,Faixa de selagem,350,300,,
20TBPHGS32MR-L2,TIS NT-NT,105,100,108,
20TBPHGS32MR-L2,TIS T-T,112,100,120,
20TBPHGS32MR-L2,Encolhimento DM,3,,5,
20TBPHGS32MR-L2,Encolhimento DT,1,,3,
20TBPHGS32MR-L2,Brilho 45,85,77,,
20TBPHGS32MR-L2,Opacidade,80,75,88,
20TBPHGS32MR-L2,Haze,29,21,34,
20TBPHGS32MR-L2,Força de tração DM,80,60,,
20TBPHGS32MR-L2,Força de tração DT,140,110,,
20TBPHGS32MR-L2,Alongamento DM,120,,160,
20TBPHGS32MR-L2,Alongamento DT,40,,60,
20TBPHGS32MR-L2,Módulo elástico DM,1200,,,
20TBPHGS32MR-L2,Módulo elástico DT,1700,,,
17TSBHTS21MR-L3,Espessura,17,16.5,17.5,
20TSBHTS21MR-L3,Espessura,20,19.4,20.6,
17TSBHTS21MR-L3,Gramatura,15.4,14.9,15.8,
20TSBHTS21MR-L3,Gramatura,18.1,17.6,18.6,
17TSBHTS21MR-L3,COF NT-NT din imediato,0.25,,0.35,
17TSBHTS21MR-L3,COF NT-NT din,0.25,,0.35,
17TSBHTS21MR-L3,Tensão superficial,42,38,,
17TSBHTS21MR-L3,TIS NT-NT,105,100,108,
17TSBHTS21MR-L3,TIS T-T,112,100,120,
17TSBHTS21MR-L3,Faixa de selagem,105,,130,
17TSBHTS21MR-L3,Força de selagem,400,300,,
20TSBHTS21MR-L3,Força de selagem,450,300,,
17TSBHTS21MR-L3,Encolhimento DM,3,,6,
17TSBHTS21MR-L3,Encolhimento DT,1,,4,
17TSBHTS21MR-L3,Brilho 45,95,85,,
17TSBHTS21MR-L3,Difusão,1.6,,3,
17TSBHTS21MR-L3,Força de tração DM,150,130,,
17TSBHTS21MR-L3,Força de tração DT,270,220,,
17TSBHTS21MR-L3,Alongamento DM,190,,210,
17TSBHTS21MR-L3,Alongamento DT,40,,70,
17TSBHTS21MR-L3,Módulo elástico DM,1600,,,
17TSBHTS21MR-L3,Módulo elástico DT,2900,,,
20TSBHTS21MR-L3,COF NT-NT din imediato,0.25,,0.35,
20TSBHTS21MR-L3,COF NT-NT din,0.25,,0.35,
20TSBHTS21MR-L3,Tensão superficial,42,38,,
20TSBHTS21MR-L3,TIS NT-NT,105,100,108,
20TSBHTS21MR-L3,TIS T-T,112,100,120,
20TSBHTS21MR-L3,Faixa de selagem,105,,130,
20TSBHTS21MR-L3,Encolhimento DM,3,,6,
20TSBHTS21MR-L3,Encolhimento DT,1,,4,
20TSBHTS21MR-L3,Brilho 45,95,85,,
20TSBHTS21MR-L3,Difusão,1.6,,3,
20TSBHTS21MR-L3,Força de tração DM,150,130,,
20TSBHTS21MR-L3,Força de tração DT,270,220,,
20TSBHTS21MR-L3,Alongamento DM,190,,210,
20TSBHTS21MR-L3,Alongamento DT,40,,70,
20TSBHTS21MR-L3,Módulo elástico DM,1600,,,
20TSBHTS21MR-L3,Módulo elástico DT,2900,,,
17TSBHTS21MR-L3,TPVA,8.5,,9.5,
20TSBHTS21MR-L3,TPVA,7,,8,
17TSBHTS21MR-L3,TPO2,3000,,3300,
20TSBHTS21MR-L3,TPO2,2800,,3100,
17TPY02MR-L3,Espessura,17,16.5,17.5,
17TPY02MR-L3,Gramatura,15.4,14.9,15.8,
17TPY02MR-L3,COF NT-NT din imediato,0.4,0.25,0.53,
17TPY02MR-L3,COF NT-NT din,0.42,0.2,0.53,
17TPY02MR-L3,COF T-T din imediato,0.35,0.25,0.45,
17TPY02MR-L3,COF T-T din,0.35,0.2,0.45,
17TPY02MR-L3,Tensão superficial,42,38,46,
17TPY02MR-L3,Encolhimento DM,3,,5,
17TPY02MR-L3,Encolhimento DT,1,,3,
17TPY02MR-L3,Brilho 45,95,85,,
17TPY02MR-L3,Difusão,1.3,,2,
17TPY02MR-L3,Força de tração DM,140,120,,
17TPY02MR-L3,Força de tração DT,250,230,,
17TPY02MR-L3,Alongamento DM,160,,190,
17TPY02MR-L3,Alongamento DT,60,,80,
17TPY02MR-L3,Módulo elástico DM,2000,,,
17TPY02MR-L3,Módulo elástico DT,2500,,,
20TPY02MR-L3,Espessura,20,19.4,20.6,
20TPY02MR-L3,Gramatura,18.1,17.6,18.6,
20TPY02MR-L3,COF NT-NT din imediato,0.4,0.25,0.53,
20TPY02MR-L3,COF NT-NT din,0.42,0.2,0.53,
20TPY02MR-L3,COF T-T din imediato,0.35,0.25,0.45,
20TPY02MR-L3,COF T-T din,0.35,0.2,0.45,
20TPY02MR-L3,Tensão superficial,42,38,46,
20TPY02MR-L3,Encolhimento DM,3,,5,
20TPY02MR-L3,Encolhimento DT,1,,3,
20TPY02MR-L3,Brilho 45,95,85,,
20TPY02MR-L3,Difusão,1.3,,2,
20TPY02MR-L3,Força de tração DM,140,120,,
20TPY02MR-L3,Força de tração DT,250,230,,
20TPY02MR-L3,Alongamento DM,160,,190,
20TPY02MR-L3,Alongamento DT,60,,80,
20TPY02MR-L3,Módulo elástico DM,2000,,,
20TPY02MR-L3,Módulo elástico DT,2500,,,
20TPY03MR-L3,Espessura,20,19.4,20.6,
20TPY03MR-L3,Gramatura,18.1,17.6,18.6,
20TPY03MR-L3,COF NT-NT din imediato,0.4,0.25,0.53,
20TPY03MR-L3,COF NT-NT din,0.42,0.2,0.53,
20TPY03MR-L3,COF T-T din imediato,0.35,0.25,0.45,
20TPY03MR-L3,COF T-T din,0.35,0.2,0.45,
20TPY03MR-L3,Tensão superficial,42,38,46,
20TPY03MR-L3,Tensão superficial,40,38,42,
20TPY03MR-L3,Encolhimento DM,3,,5,
20TPY03MR-L3,Encolhimento DT,1,,3,
20TPY03MR-L3,Brilho 45,95,85,,
20TPY03MR-L3,Difusão,1.3,,2,
20TPY03MR-L3,Força de tração DM,140,120,,
20TPY03MR-L3,Força de tração DT,250,230,,
20TPY03MR-L3,Alongamento DM,160,,190,
20TPY03MR-L3,Alongamento DT,60,,80,
20TPY03MR-L3,Módulo elástico DM,2000,,,
20TPY03MR-L3,Módulo elástico DT,2500,,,
50TPY03MR-L3,Espessura,50,48.5,51.5,
50TPY03MR-L3,Gramatura,45.3,43.9,46.6,
50TPY03MR-L3,COF NT-NT din imediato,0.4,0.25,0.53,
50TPY03MR-L3,COF NT-NT din,0.42,0.2,0.53,
50TPY03MR-L3,COF T-T din imediato,0.35,0.25,0.45,
50TPY03MR-L3,COF T-T din,0.35,0.2,0.45,
50TPY03MR-L3,Tensão superficial,42,38,46,
50TPY03MR-L3,Tensão superficial,40,38,42,
50TPY03MR-L3,Encolhimento DM,3,,5,
50TPY03MR-L3,Encolhimento DT,1,,3,
50TPY03MR-L3,Brilho 45,95,85,,
50TPY03MR-L3,Difusão,1.3,,2,
50TPY03MR-L3,Força de tração DM,140,110,,
50TPY03MR-L3,Força de tração DT,250,220,,
50TPY03MR-L3,Alongamento DM,210,,260,
50TPY03MR-L3,Alongamento DT,60,,80,
50TPY03MR-L3,Módulo elástico DM,2000,,,
50TPY03MR-L3,Módulo elástico DT,2500,,,
20TFCHSK30MR,Espessura,20,19.4,20.6,
20TFCHSK30MR,Gramatura,18.3,17.7,18.8,
20TFCHSK30MR,COF INT-INT din imediato,0.32,0.25,0.4,
20TFCHSK30MR,COF EXT-EXT din imediato,0.32,2.5,0.4,
20TFCHSK30MR,COF INT-INT din,0.3,0.24,0.36,
20TFCHSK30MR,COF EXT-EXT din,0.3,0.24,0.36,
20TFCHSK30MR,Faixa de selagem,105,,130,
20TFCHSK30MR,Força de selagem,470,300,,
20TFCHSK30MR,TIS INT,105,,108,
20TFCHSK30MR,TIS EXT,105,,108,
20TFCHSK30MR,Encolhimento DM,9,8,,
20TFCHSK30MR,Encolhimento DT,10,8,,
20TFCHSK30MR,Brilho 45,95,85,,
20TFCHSK30MR,DIfusão,1.8,,2.5,
20TFCHSK30MR,Força de tração DM,170,140,,
20TFCHSK30MR,Força de tração DT,300,250,,
20TFCHSK30MR,Alongamento DM,150,,190,
20TFCHSK30MR,Alongamento DT,50,,70,
20TFCHSK30MR,Módulo elástico DM,2300,,,
20TFCHSK30MR,Módulo elástico DT,3500,,,
18TSYCSY32MR,Espessura,18,17.5,18.5,
18TSYCSY32MR,Gramatura,16.3,15.8,16.8,
18TSYCSY32MR,COF NT-NT din imediato,0.33,0.35,0.4,
18TSYCSY32MR,COF NT-NT din,0.32,0.22,0.42,
18TSYCSY32MR,COF T-T din imediato,0.25,0.2,0.35,
18TSYCSY32MR,COF T-T din,0.25,0.17,0.32,
18TSYCSY32MR,Tensão superficial,42,38,46,
18TSYCSY32MR,Faixa de selagem,117,,130,
18TSYCSY32MR,Força de selagem,450,300,,
18TSYCSY32MR,TIS NT-NT,117,110,120,
18TSYCSY32MR,TIS T-T,105,100,115,
18TSYCSY32MR,Encolhimento DM,8,7,5,
18TSYCSY32MR,Encolhimento DT,9,8,3,
18TSYCSY32MR,Brilho 45,95,85,,
18TSYCSY32MR,DIfusão,1.4,,2,
18TSYCSY32MR,Força de tração DM,155,125,,
18TSYCSY32MR,Força de tração DT,280,250,,
18TSYCSY32MR,Alongamento DM,140,,175,
18TSYCSY32MR,Alongamento DT,50,,70,
18TSYCSY32MR,Módulo elástico DM,2000,,,
18TSYCSY32MR,Módulo elástico DT,3000,,,
22TBB12MR-L2,Espessura,29.3,28.5,30.2,
22TBB12MR-L2,Gramatura,22,21.3,22.7,
22TBB12MR-L2,COF NT-NT din imediato,0.35,0.2,0.45,
22TBB12MR-L2,COF NT-NT din,0.3,0.2,0.4,
22TBB12MR-L2,Tensão superficial,42,38,46,
22TBB12MR-L2,Faixa de selagem,105,,130,
22TBB12MR-L2,Força de selagem,390,300,,
22TBB12MR-L2,TIS NT-NT,105,100,108,
22TBB12MR-L2,TIS T-T,105,100,108,
22TBB12MR-L2,Encolhimento DM,3,,5,
22TBB12MR-L2,Encolhimento DT,1,,3,
22TBB12MR-L2,Brilho 45,85,77,,
22TBB12MR-L2,Opacidade,80,75,88,
22TBB12MR-L2,Força de tração DM,80,60,,
22TBB12MR-L2,Força de tração DT,140,110,,
22TBB12MR-L2,Alongamento DM,120,,160,
22TBB12MR-L2,Alongamento DT,40,,60,
22TBB12MR-L2,Módulo elástico DM,1200,,,
22TBB12MR-L2,Módulo elástico DT,1700,,,
26TBB12MR-L2,Espessura,34.7,33.6,35.7,
26TBB12MR-L2,Gramatura,26,25.2,26.8,
26TBB12MR-L2,COF NT-NT din imediato,0.35,0.2,0.45,
26TBB12MR-L2,COF NT-NT din,0.3,0.2,0.4,
26TBB12MR-L2,Tensão superficial,42,38,46,
26TBB12MR-L2,Faixa de selagem,105,,130,
26TBB12MR-L2,Força de selagem,400,300,,
26TBB12MR-L2,TIS NT-NT,105,100,108,
26TBB12MR-L2,TIS T-T,105,100,108,
26TBB12MR-L2,Encolhimento DM,3,,5,
26TBB12MR-L2,Encolhimento DT,1,,3,
26TBB12MR-L2,Brilho 45,85,77,,
26TBB12MR-L2,Opacidade,80,75,88,
26TBB12MR-L2,Força de tração DM,80,60,,
26TBB12MR-L2,Força de tração DT,140,110,,
26TBB12MR-L2,Alongamento DM,120,,160,
26TBB12MR-L2,Alongamento DT,40,,60,
26TBB12MR-L2,Módulo elástico DM,1200,,,
26TBB12MR-L2,Módulo elástico DT,1700,,,
26TBB12MR-EV,Espessura,34.7,33.6,35.7,
26TBB12MR-EV,Gramatura,26,25.2,26.8,
26TBB12MR-EV,COF NT-NT din imediato,0.35,0.2,0.45,
26TBB12MR-EV,COF NT-NT din,0.3,0.2,0.4,
26TBB12MR-EV,Tensão superficial,42,38,46,
26TBB12MR-EV,Faixa de selagem,105,,130,
26TBB12MR-EV,Força de selagem,400,300,,
26TBB12MR-EV,TIS NT-NT,105,100,108,
26TBB12MR-EV,TIS T-T,105,100,108,
26TBB12MR-EV,Encolhimento DM,3,,5,
26TBB12MR-EV,Encolhimento DT,1,,3,
26TBB12MR-EV,Brilho 45,85,77,,
26TBB12MR-EV,Opacidade,80,75,88,
26TBB12MR-EV,Força de tração DM,80,60,,
26TBB12MR-EV,Força de tração DT,140,110,,
26TBB12MR-EV,Alongamento DM,120,,160,
26TBB12MR-EV,Alongamento DT,40,,60,
26TBB12MR-EV,Módulo elástico DM,1200,,,
26TBB12MR-EV,Módulo elástico DT,1700,,,
45TSYL8232MR-L3,Espessura,45,42.8,47.3,
45TSYL8232MR-L3,Gramatura,40.7,38.7,42.8,
45TSYL8232MR-L3,COF NT-NT din imediato,0.3,0.2,0.4,
45TSYL8232MR-L3,COF NT-NT din,0.3,0.18,0.32,
45TSYL8232MR-L3,COF T-T din imediato,0.45,0.25,0.65,
45TSYL8232MR-L3,COF T-T din,0.33,0.25,0.4,
45TSYL8232MR-L3,Tensão superficial,42,38,46,
45TSYL8232MR-L3,Faixa de selagem NT-NT,82,,135,
45TSYL8232MR-L3,Faixa de selagem T-T,110,,117,
45TSYL8232MR-L3,Força de selagem,450,300,,
45TSYL8232MR-L3,TIS NT-NT,82,,86,
45TSYL8232MR-L3,TIS T-T,110,100,117,
45TSYL8232MR-L3,Encolhimento DM,3,,5,
45TSYL8232MR-L3,Encolhimento DT,1,,3,
45TSYL8232MR-L3,Brilho 45,90,80,,
45TSYL8232MR-L3,DIfusão,1.6,,3,
45TSYL8232MR-L3,Força de tração DM,140,120,,
45TSYL8232MR-L3,Força de tração DT,270,230,,
45TSYL8232MR-L3,Alongamento DM,210,,260,
45TSYL8232MR-L3,Alongamento DT,60,,80,
45TSYL8232MR-L3,Módulo elástico DM,1700,,,
45TSYL8232MR-L3,Módulo elástico DT,2500,,,
20TSYL8232MR,Espessura,20,19.4,20.6,
20TSYL8232MR,Gramatura,18.1,17.6,18.6,
20TSYL8232MR,COF NT-NT din imediato,0.35,0.2,0.4,
20TSYL8232MR,COF NT-NT din,0.25,0.2,0.3,
20TSYL8232MR,COF T-T din imediato,0.4,0.2,0.65,
20TSYL8232MR,COF T-T din,0.25,0.2,0.3,
20TSYL8232MR,Tensão superficial,42,38,46,
20TSYL8232MR,Faixa de selagem NT-NT,82,,135,
20TSYL8232MR,Faixa de selagem T-T,110,,117,
20TSYL8232MR,Força de selagem,450,300,,
20TSYL8232MR,TIS NT-NT,82,,86,
20TSYL8232MR,TIS T-T,110,100,117,
20TSYL8232MR,Encolhimento DM,3,,5,
20TSYL8232MR,Encolhimento DT,1,,3,
20TSYL8232MR,Brilho 45,90,80,,
20TSYL8232MR,DIfusão,1.6,,3,
20TSYL8232MR,Força de tração DM,140,120,,
20TSYL8232MR,Força de tração DT,270,230,,
20TSYL8232MR,Alongamento DM,170,,200,
20TSYL8232MR,Alongamento DT,50,,70,
20TSYL8232MR,Módulo elástico DM,1700,,,
20TSYL8232MR,Módulo elástico DT,2500,,,
19TPYRL02MR-L3,Espessura,19,18.4,19.6,
19TPYRL02MR-L3,Gramatura,17.2,16.7,17.7,
19TPYRL02MR-L3,COF NT-NT din imediato,0.25,0.20,0.3,
19TPYRL02MR-L3,COF NT-NT din,0.22,0.18,0.28,
19TPYRL02MR-L3,COF T-T din imediato,0.6,0.4,0.8,
19TPYRL02MR-L3,COF T-T din,0.55,0.45,0.75,
19TPYRL02MR-L3,Tensão superficial,42,38,46,
19TPYRL02MR-L3,Encolhimento DM,3,,5,
19TPYRL02MR-L3,Encolhimento DT,1,,3,
19TPYRL02MR-L3,Brilho 45,95,85,,
19TPYRL02MR-L3,Difusão,1.7,,2,
19TPYRL02MR-L3,Força de tração DM,160,140,,
19TPYRL02MR-L3,Força de tração DT,250,230,,
19TPYRL02MR-L3,Alongamento DM,170,,200,
19TPYRL02MR-L3,Alongamento DT,60,,80,
19TPYRL02MR-L3,Módulo elástico DM,1600,,,
19TPYRL02MR-L3,Módulo elástico DT,2600,,,
20TSBL8212MR-L2,Espessura,20,19.4,20.6,
25TSBL8212MR-L2,Espessura,24.4,23.7,25,
20TSBL8212MR-L2,Gramatura,18.1,17.6,18.6,
25TSBL8212MR-L2,Gramatura,22.1,21.4,22.6,
20TSBL8212MR-L2,COF NT-NT din imediato,0.3,0.2,0.4,
